2025-04-15 17:19:54 startup archives install
2025-04-15 17:19:54 install base-passwd:arm64 <none> 3.6.6
2025-04-15 17:19:54 status half-installed base-passwd:arm64 3.6.6
2025-04-15 17:19:54 status unpacked base-passwd:arm64 3.6.6
2025-04-15 17:19:54 configure base-passwd:arm64 3.6.6 3.6.6
2025-04-15 17:19:54 status half-configured base-passwd:arm64 3.6.6
2025-04-15 17:19:54 status installed base-passwd:arm64 3.6.6
2025-04-15 17:19:54 startup archives install
2025-04-15 17:19:54 install base-files:arm64 <none> 13.6ubuntu2
2025-04-15 17:19:54 status half-installed base-files:arm64 13.6ubuntu2
2025-04-15 17:19:54 status unpacked base-files:arm64 13.6ubuntu2
2025-04-15 17:19:54 configure base-files:arm64 13.6ubuntu2 13.6ubuntu2
2025-04-15 17:19:54 status half-configured base-files:arm64 13.6ubuntu2
2025-04-15 17:19:54 status installed base-files:arm64 13.6ubuntu2
2025-04-15 17:19:54 startup archives install
2025-04-15 17:19:54 upgrade dpkg 1.22.18ubuntu2 1.22.18ubuntu2
2025-04-15 17:19:54 status half-configured dpkg 1.22.18ubuntu2
2025-04-15 17:19:54 status unpacked dpkg 1.22.18ubuntu2
2025-04-15 17:19:54 status half-installed dpkg 1.22.18ubuntu2
2025-04-15 17:19:54 status unpacked dpkg:arm64 1.22.18ubuntu2
2025-04-15 17:19:54 configure dpkg:arm64 1.22.18ubuntu2 1.22.18ubuntu2
2025-04-15 17:19:54 status half-configured dpkg:arm64 1.22.18ubuntu2
2025-04-15 17:19:54 status installed dpkg:arm64 1.22.18ubuntu2
2025-04-15 17:19:54 startup archives install
2025-04-15 17:19:54 install libc6:arm64 <none> 2.41-6ubuntu1
2025-04-15 17:19:54 status half-installed libc6:arm64 2.41-6ubuntu1
2025-04-15 17:19:55 status unpacked libc6:arm64 2.41-6ubuntu1
2025-04-15 17:19:55 configure libc6:arm64 2.41-6ubuntu1 2.41-6ubuntu1
2025-04-15 17:19:55 status half-configured libc6:arm64 2.41-6ubuntu1
2025-04-15 17:19:55 status installed libc6:arm64 2.41-6ubuntu1
2025-04-15 17:19:55 startup archives install
2025-04-15 17:19:55 install perl-base:arm64 <none> 5.40.1-2
2025-04-15 17:19:55 status half-installed perl-base:arm64 5.40.1-2
2025-04-15 17:19:55 status unpacked perl-base:arm64 5.40.1-2
2025-04-15 17:19:55 configure perl-base:arm64 5.40.1-2 5.40.1-2
2025-04-15 17:19:55 status half-configured perl-base:arm64 5.40.1-2
2025-04-15 17:19:55 status installed perl-base:arm64 5.40.1-2
2025-04-15 17:19:55 startup archives install
2025-04-15 17:19:55 install mawk:arm64 <none> 1.3.4.20250131-1
2025-04-15 17:19:55 status half-installed mawk:arm64 1.3.4.20250131-1
2025-04-15 17:19:55 status unpacked mawk:arm64 1.3.4.20250131-1
2025-04-15 17:19:55 configure mawk:arm64 1.3.4.20250131-1 1.3.4.20250131-1
2025-04-15 17:19:55 status half-configured mawk:arm64 1.3.4.20250131-1
2025-04-15 17:19:55 status installed mawk:arm64 1.3.4.20250131-1
2025-04-15 17:19:55 startup archives install
2025-04-15 17:19:55 install debconf:all <none> 1.5.87ubuntu1
2025-04-15 17:19:55 status half-installed debconf:all 1.5.87ubuntu1
2025-04-15 17:19:55 status unpacked debconf:all 1.5.87ubuntu1
2025-04-15 17:19:55 configure debconf:all 1.5.87ubuntu1 1.5.87ubuntu1
2025-04-15 17:19:55 status half-configured debconf:all 1.5.87ubuntu1
2025-04-15 17:19:55 status installed debconf:all 1.5.87ubuntu1
2025-04-15 17:19:56 startup archives unpack
2025-04-15 17:19:56 upgrade base-files:arm64 13.6ubuntu2 13.6ubuntu2
2025-04-15 17:19:56 status half-configured base-files:arm64 13.6ubuntu2
2025-04-15 17:19:56 status unpacked base-files:arm64 13.6ubuntu2
2025-04-15 17:19:56 status half-installed base-files:arm64 13.6ubuntu2
2025-04-15 17:19:56 status unpacked base-files:arm64 13.6ubuntu2
2025-04-15 17:19:56 upgrade base-passwd:arm64 3.6.6 3.6.6
2025-04-15 17:19:56 status half-configured base-passwd:arm64 3.6.6
2025-04-15 17:19:56 status unpacked base-passwd:arm64 3.6.6
2025-04-15 17:19:56 status half-installed base-passwd:arm64 3.6.6
2025-04-15 17:19:56 status unpacked base-passwd:arm64 3.6.6
2025-04-15 17:19:56 install bash:arm64 <none> 5.2.37-1.1ubuntu1
2025-04-15 17:19:56 status half-installed bash:arm64 5.2.37-1.1ubuntu1
2025-04-15 17:19:56 status unpacked bash:arm64 5.2.37-1.1ubuntu1
2025-04-15 17:19:56 install bsdutils:arm64 <none> 1:2.40.2-14ubuntu1
2025-04-15 17:19:56 status half-installed bsdutils:arm64 1:2.40.2-14ubuntu1
2025-04-15 17:19:56 status unpacked bsdutils:arm64 1:2.40.2-14ubuntu1
2025-04-15 17:19:56 install coreutils:arm64 <none> 9.5-1ubuntu1
2025-04-15 17:19:56 status half-installed coreutils:arm64 9.5-1ubuntu1
2025-04-15 17:19:56 status unpacked coreutils:arm64 9.5-1ubuntu1
2025-04-15 17:19:56 install dash:arm64 <none> 0.5.12-12ubuntu1
